3
999
999
4.310307e-02
10 01
T T
5.515536e-01 2.155153e-02 2.155153e-02 1.000000 0.709105 0.447742
1.466563e-01 2.155153e-02 2.155153e-02 1.000000 0.720483 0.735792
4.424169e-01 2.155153e-02 2.155153e-02 1.000000 0.610121 0.976924
8.776584e-01 2.155153e-02 2.155153e-02 1.000000 0.671010 0.062291
1.822603e-01 2.155153e-02 2.155153e-02 1.000000 0.060940 0.019410
1.877512e-01 2.155153e-02 2.155153e-02 1.000000 0.657830 0.246276
4.344979e-03 2.155153e-02 2.155153e-02 1.000000 0.955941 0.309826
2.028256e-01 2.155153e-02 2.155153e-02 1.000000 0.711988 0.251252
3.687206e-02 2.155153e-02 2.155153e-02 1.000000 0.097134 0.896015
7.342485e-01 2.155153e-02 2.155153e-02 1.000000 0.434632 0.797152
4.927058e-01 2.155153e-02 2.155153e-02 1.000000 0.541973 0.236254
7.342057e-01 2.155153e-02 2.155153e-02 1.000000 0.703445 0.354443
3.436161e-01 2.155153e-02 2.155153e-02 1.000000 0.391354 0.104720
3.620894e-01 2.155153e-02 2.155153e-02 1.000000 0.101056 0.791952
3.412214e-01 2.155153e-02 2.155153e-02 1.000000 0.006950 0.885705
8.312212e-01 2.155153e-02 2.155153e-02 1.000000 0.230599 0.489775
2.464069e-01 2.155153e-02 2.155153e-02 1.000000 0.203407 0.210758
5.057915e-01 2.155153e-02 2.155153e-02 1.000000 0.115397 0.312817
6.616263e-01 2.155153e-02 2.155153e-02 1.000000 0.937600 0.235623
3.381920e-01 2.155153e-02 2.155153e-02 1.000000 0.474764 0.487204
7.946204e-01 2.155153e-02 2.155153e-02 1.000000 0.918823 0.619614
8.185558e-01 2.155153e-02 2.155153e-02 1.000000 0.242589 0.729892
4.371636e-01 2.155153e-02 2.155153e-02 1.000000 0.506696 0.444498
5.181767e-02 2.155153e-02 2.155153e-02 1.000000 0.862647 0.192319
3.886683e-01 2.155153e-02 2.155153e-02 1.000000 0.634521 0.387323
2.600723e-01 2.155153e-02 2.155153e-02 1.000000 0.918160 0.644826
2.734054e-01 2.155153e-02 2.155153e-02 1.000000 0.846314 0.806313
8.569319e-01 2.155153e-02 2.155153e-02 1.000000 0.512681 0.437161
3.011430e-01 2.155153e-02 2.155153e-02 1.000000 0.319491 0.717139
1.850313e-01 2.155153e-02 2.155153e-02 1.000000 0.100303 0.362081
7.709940e-01 2.155153e-02 2.155153e-02 1.000000 0.130999 0.343111
8.251206e-01 2.155153e-02 2.155153e-02 1.000000 0.912363 0.755578
6.397169e-04 2.155153e-02 2.155153e-02 1.000000 0.386417 0.770752
